Activity Type,Date,Environment,Country,City,Title,Distance (km),Calories,Time,Avg HR,Max HR
Running,6/13/2015 8:49,Outdoor,USA,"Mckinney, TX",McKinney Running,4.34,117,0:15:52,155,174
Cycling,6/23/2015 18:39,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.93,"2,305",1:47:48,149,193
Cycling,6/27/2015 9:33,Outdoor,USA,"Frisco, TX",Frisco Cycling,0,0,00:01.5,80,80
Cycling,6/27/2015 9:45,Outdoor,USA,"Frisco, TX",Frisco Cycling,30.23,"1,189",1:05:28,151,179
Cycling,6/30/2015 18:33,Outdoor,USA,"Frisco, TX",Frisco Cycling,36.24,"1,681",1:14:20,160,191
Cycling,7/7/2015 18:40,Outdoor,USA,"Frisco, TX",Frisco Cycling,54.72,"3,007",1:55:26,145,173
Cycling,7/8/2015 18:14,Outdoor,USA,"Plano, TX",Plano Cycling,21.88,"1,008",1:03:49,131,162
Cycling,7/8/2015 19:33,Outdoor,USA,"Plano, TX",Plano Cycling,7.79,403,0:18:58,135,165
Cycling,7/13/2015 18:28,Outdoor,USA,"Frisco, TX",Frisco Cycling,26.8,920,1:00:48,161,189
Cycling,7/14/2015 18:38,Outdoor,USA,"Frisco, TX",Frisco Cycling,44.69,"1,452",1:37:28,159,190
Cycling,7/16/2015 18:36,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.97,"1,553",1:46:26,162,194
Cycling,7/18/2015 6:58,Outdoor,USA,"Frisco, TX",Frisco Cycling,92.28,"2,537",3:23:39,154,189
Cycling,7/21/2015 18:36,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.98,"1,591",1:49:10,161,190
Cycling,7/25/2015 7:01,Outdoor,USA,"Frisco, TX",Frisco Cycling,56.23,"3,175",2:00:05,153,178
Cycling,7/27/2015 17:52,Outdoor,USA,"Frisco, TX",Frisco Cycling,47.78,"1,441",1:51:03,150,181
Cycling,7/28/2015 18:33,Outdoor,USA,"Frisco, TX",Frisco Cycling,53.09,"1,456",1:45:09,154,177
Cycling,7/30/2015 18:33,Outdoor,USA,"Frisco, TX",Frisco Cycling,53.21,"1,466",1:43:24,156,184
Cycling,8/1/2015 6:49,Outdoor,USA,"Frisco, TX",Short recovery ride,36.88,"1,043",1:27:56,143,177
Cycling,8/3/2015 18:42,Outdoor,USA,"Frisco, TX",Recovery Ride,40.51,983,1:38:42,133,168
Cycling,8/11/2015 18:35,Outdoor,USA,"Frisco, TX",STCC Stampede,52.74,"1,456",1:42:32,157,189
Cycling,8/15/2015 6:45,Outdoor,USA,"Frisco, TX",CPS B Cycling Training ,85.56,"2,300",3:11:21,147,187
Cycling,8/18/2015 17:45,Outdoor,USA,"Frisco, TX",Frisco Cycling,75.09,"2,286",2:42:23,159,185
Cycling,8/22/2015 6:59,Outdoor,USA,"Frisco, TX",Untitled,92.01,"2,549",3:22:40,152,188
Cycling,8/27/2015 17:23,Outdoor,USA,"Frisco, TX",STCC Group A ,76.53,"2,338",2:41:24,162,198
Cycling,8/30/2015 6:57,Outdoor,USA,"Frisco, TX",STCC Hangover Group Sunday Ride - Frisco Cycling,74.5,"1,908",2:53:34,142,200
Cycling,9/1/2015 17:55,Outdoor,USA,"Frisco, TX",Frisco Cycling,63.94,"1,873",2:05:09,160,191
Cycling,9/1/2015 20:33,Outdoor,USA,"Frisco, TX",Frisco Cycling,10.89,497,0:32:07,158,173
Cycling,9/6/2015 6:53,Outdoor,USA,"Frisco, TX",Sunday: Not Recovery with STCC Group,77.8,"2,126",2:54:09,149,188
Cycling,9/7/2015 8:05,Outdoor,USA,"Prosper, TX",Aubrey Cycling,92.77,"2,914",3:14:19,163,198
Cycling,9/10/2015 17:56,Outdoor,USA,"Mckinney, TX",McKinney Cycling,72.29,"2,047",2:26:03,157,185
Cycling,9/12/2015 6:57,Outdoor,USA,"Frisco, TX",Frisco Cycling,170.5,"4,424",6:11:05,151,176
Cycling,9/15/2015 18:32,Outdoor,USA,"Frisco, TX",Frisco Cycling,53.1,"1,329",1:42:36,153,191
Cycling,9/27/2015 17:10,Outdoor,USA,"Frisco, TX",Frisco Cycling,36.91,"1,164",1:21:09,156,190
Cycling,9/29/2015 17:52,Outdoor,USA,"Frisco, TX",Frisco Cycling,75.34,"2,279",2:39:34,160,190
Cycling,10/3/2015 6:40,Outdoor,USA,"Frisco, TX",Frisco Cycling,114.36,"3,881",4:13:53,166,190
Cycling,10/27/2015 18:28,Outdoor,USA,"Frisco, TX",Frisco Cycling,44.73,"1,282",1:40:16,148,193
Cycling,12/5/2015 10:45,Outdoor,USA,"Frisco, TX",Frisco Cycling,43.61,"1,561",1:41:59,165,192
Cycling,1/3/2016 13:20,Outdoor,USA,"Frisco, TX",Frisco Cycling,44.16,"1,397",1:50:24,153,178
Cycling,1/10/2016 15:58,Outdoor,USA,"Frisco, TX",Frisco Cycling,34.98,"1,341",1:27:58,165,187
Cycling,1/17/2016 13:27,Outdoor,USA,"Frisco, TX",Frisco Cycling,40.41,"1,456",1:35:39,163,185
